"Delay (s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
2.000000000E-3;4.402318158E-8;5.089079791E-5;7.412796533E-8;8.569192792E-5;2.551795699E-6;2.949875829E-3;2.089034029E-7;2.414923338E-4;2.040242433E-7;2.358520253E-4;4.835447671E-6;5.589777508E-3
2.020833333E-3;3.603505289E-8;4.252888536E-5;7.584914658E-8;8.951782779E-5;2.418321429E-6;2.854124152E-3;1.697326311E-7;2.003199393E-4;1.951887528E-7;2.303634774E-4;3.608565637E-6;4.258860803E-3
2.041666667E-3;3.003898248E-8;3.618701305E-5;8.927484136E-8;1.075465805E-4;2.392062953E-6;2.881642657E-3;1.456269782E-7;1.754322192E-4;1.898307326E-7;2.286830854E-4;2.766400980E-6;3.332595850E-3
2.062500000E-3;NaN;3.692929143E-5;1.154388596E-7;1.419180990E-4;2.361664287E-6;2.903380258E-3;1.326178749E-7;1.630376180E-4;1.882290700E-7;2.314048482E-4;2.221559095E-6;2.731137891E-3
2.083333333E-3;NaN;3.767910563E-5;1.555474432E-7;1.951094232E-4;2.264502088E-6;2.840456177E-3;1.266705324E-7;1.588879508E-4;1.903351343E-7;2.387450252E-4;1.878467781E-6;2.356237798E-3
2.104166667E-3;NaN;3.843645566E-5;2.098808182E-7;2.685535293E-4;2.089651655E-6;2.673819036E-3;1.249158497E-7;1.598363899E-4;1.953369760E-7;2.499439194E-4;1.660765430E-6;2.125036587E-3
2.125000000E-3;NaN;3.920134150E-5;2.759139986E-7;3.600720793E-4;1.862002929E-6;2.429942916E-3;1.258551368E-7;1.642429200E-4;2.014123716E-7;2.628462921E-4;1.519060566E-6;1.982397774E-3
2.145833333E-3;NaN;3.997376317E-5;3.468250460E-7;4.615303550E-4;1.620932452E-6;2.157022794E-3;1.291748647E-7;1.718968161E-4;2.060485537E-7;2.741949095E-4;1.428797477E-6;1.901343096E-3
2.166666667E-3;NaN;4.075372065E-5;4.120297139E-7;5.589984238E-4;1.399583918E-6;1.898807725E-3;1.352567937E-7;1.835021405E-4;2.067926031E-7;2.805543758E-4;1.379262260E-6;1.871237446E-3
2.187500000E-3;NaN;4.154121396E-5;4.599345980E-7;6.360482267E-4;1.212857390E-6;1.677272803E-3;1.444305262E-7;1.997344416E-4;2.021569958E-7;2.795649627E-4;1.359482763E-6;1.880042520E-3
2.208333333E-3;NaN;4.233624309E-5;4.815334776E-7;6.786620810E-4;1.059369353E-6;1.493050521E-3;1.563858187E-7;2.204065347E-4;1.922616678E-7;2.709691218E-4;1.352542071E-6;1.906241330E-3
2.229166667E-3;NaN;4.313880804E-5;4.739432647E-7;6.806271660E-4;9.331559346E-7;1.340099811E-3;1.701670647E-7;2.443759319E-4;1.789023452E-7;2.569206175E-4;1.342420470E-6;1.927842229E-3
2.250000000E-3;NaN;4.394890881E-5;4.421666619E-7;6.469174617E-4;8.347717347E-7;1.221323221E-3;1.846578236E-7;2.701659371E-4;1.650943826E-7;2.415434001E-4;1.325433796E-6;1.939192484E-3
2.270833333E-3;NaN;4.476654540E-5;3.972876426E-7;5.920704971E-4;7.730533605E-7;1.152067264E-3;1.989197151E-7;2.964464080E-4;1.542057774E-7;2.298100456E-4;1.313425130E-6;1.957373414E-3
2.291666667E-3;NaN;4.559171782E-5;3.523603047E-7;5.347954642E-4;7.570488188E-7;1.149012159E-3;2.119193525E-7;3.216409651E-4;1.487335266E-7;2.257405683E-4;1.323358252E-6;2.008529284E-3
2.312500000E-3;NaN;4.642442605E-5;3.185929865E-7;4.923767491E-4;7.866368253E-7;1.215725704E-3;2.219708994E-7;3.430499555E-4;1.492307539E-7;2.306320496E-4;1.361367156E-6;2.103955714E-3
2.333333333E-3;NaN;4.726467011E-5;3.032828591E-7;4.771987298E-4;8.498359815E-7;1.337169704E-3;2.265957764E-7;3.565358654E-4;1.541002701E-7;2.424682139E-4;1.413979335E-6;2.224817929E-3
2.354166667E-3;NaN;4.811244998E-5;3.098603497E-7;4.962931279E-4;9.264057393E-7;1.483793595E-3;2.231065849E-7;3.573424770E-4;1.603696223E-7;2.568587479E-4;1.451833659E-6;2.325354207E-3
2.375000000E-3;NaN;4.896776568E-5;3.393590856E-7;5.532030319E-4;9.935302668E-7;1.619594050E-3;2.097123334E-7;3.418605943E-4;1.649692975E-7;2.689231537E-4;1.443219229E-6;2.352650296E-3
2.395833333E-3;NaN;4.983061720E-5;3.915552154E-7;6.495372492E-4;1.032369843E-6;1.712562218E-3;1.867341189E-7;3.097666974E-4;1.661247044E-7;2.755784607E-4;1.371751178E-6;2.275550041E-3
2.416666667E-3;NaN;5.070100454E-5;4.641999895E-7;7.834954392E-4;1.033848183E-6;1.744970604E-3;1.572004058E-7;2.653291765E-4;1.644471642E-7;2.775605473E-4;1.248532345E-6;2.107323180E-3
2.437500000E-3;NaN;5.157892770E-5;5.503871582E-7;9.450512998E-4;9.993121011E-7;1.715885238E-3;1.260993611E-7;2.165209767E-4;1.631209282E-7;2.800894660E-4;1.108067686E-6;1.902625799E-3
2.458333333E-3;NaN;5.246438668E-5;6.365207966E-7;1.111711198E-3;9.363002912E-7;1.635289097E-3;9.843427169E-8;1.719197278E-4;1.669062694E-7;2.915090438E-4;9.888115893E-7;1.727002358E-3
2.479166667E-3;NaN;5.335738149E-5;7.038890185E-7;1.250297839E-3;8.557327779E-7;1.520013546E-3;7.732335761E-8;1.373472584E-4;1.804986538E-7;3.206145726E-4;9.133933987E-7;1.622434450E-3
2.500000000E-3;NaN;5.425791211E-5;7.344513739E-7;1.326602794E-3;7.723573589E-7;1.395070479E-3;6.326510207E-8;1.142725906E-4;2.070011714E-7;3.738958659E-4;8.816140026E-7;1.592415292E-3
2.520833333E-3;NaN;5.516597856E-5;7.182364851E-7;1.319026653E-3;7.028962598E-7;1.290854643E-3;5.466208812E-8;1.003858098E-4;2.468362768E-7;4.533097871E-4;8.759666929E-7;1.608694962E-3
2.541666667E-3;NaN;5.608158082E-5;6.579906787E-7;1.228442323E-3;6.597232380E-7;1.231676942E-3;4.898859875E-8;9.145975773E-5;2.971981908E-7;5.548571550E-4;8.730742580E-7;1.629994777E-3
