"Speed of sound (m/s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
1.000000000E3;2.443699411E-8;2.824916520E-5;1.950947986E-8;2.255295872E-5;1.968704054E-8;2.275821886E-5;1.403081462E-7;1.621962170E-4;3.730831919E-7;4.312841698E-4;1.866323974E-7;2.157470514E-4
9.896907216E2;2.238937519E-8;2.642413690E-5;1.937795451E-8;2.287003181E-5;2.242186542E-8;2.646248215E-5;1.616890066E-7;1.908267832E-4;4.009848444E-7;4.732458289E-4;2.062927462E-7;2.434685077E-4
9.795918367E2;1.983915750E-8;2.389960618E-5;2.413485411E-8;2.907449615E-5;2.549900769E-8;3.071784886E-5;1.908379165E-7;2.298964081E-4;4.367784127E-7;5.261731529E-4;2.405843269E-7;2.898243368E-4
9.696969697E2;1.695012039E-8;2.083812046E-5;3.333413432E-8;4.098028159E-5;2.869299444E-8;3.527456213E-5;2.247842074E-7;2.763449630E-4;4.615192271E-7;5.673820026E-4;2.877642617E-7;3.537713134E-4
9.600000000E2;1.405143051E-8;1.762527525E-5;4.598814170E-8;5.768477844E-5;3.199493169E-8;4.013253151E-5;2.590278874E-7;3.249091122E-4;4.664452335E-7;5.850810437E-4;3.425856982E-7;4.297190398E-4
9.504950495E2;1.148321834E-8;1.469338093E-5;6.029977108E-8;7.715672388E-5;3.525535611E-8;4.511107966E-5;2.887224315E-7;3.694355141E-4;4.511097411E-7;5.772186048E-4;3.955560855E-7;5.061347849E-4
9.411764706E2;9.474556856E-9;1.236444474E-5;7.397110416E-8;9.653344673E-5;3.808157321E-8;4.969704807E-5;3.106463434E-7;4.053983319E-4;4.224270390E-7;5.512738863E-4;4.350995785E-7;5.678117484E-4
9.320388350E2;8.085435316E-9;1.075952811E-5;8.479297758E-8;1.128365252E-4;3.992559988E-8;5.313017758E-5;3.242324555E-7;4.314657260E-4;3.904619706E-7;5.195993022E-4;4.519924812E-7;6.014797741E-4
9.230769231E2;7.234521324E-9;9.815034889E-6;9.124953170E-8;1.237977327E-4;4.028847605E-8;5.465915163E-5;3.306526144E-7;4.485945650E-4;3.634885348E-7;4.931428758E-4;4.433707952E-7;6.015186947E-4
9.142857143E2;6.773606753E-9;9.367289573E-6;9.302949663E-8;1.286514357E-4;3.902788314E-8;5.397205597E-5;3.309046083E-7;4.576113436E-4;3.479457625E-7;4.811777288E-4;4.137004368E-7;5.721105357E-4
9.056603774E2;NaN;9.546563777E-6;9.126631389E-8;1.286286196E-4;3.658094622E-8;5.155633459E-5;3.247479342E-7;4.576921836E-4;3.514997540E-7;4.953955761E-4;3.723712872E-7;5.248114294E-4
8.971962617E2;NaN;9.727537262E-6;8.834559407E-8;1.268725938E-4;3.389271062E-8;4.867312461E-5;3.113352778E-7;4.471067817E-4;3.837009155E-7;5.510306531E-4;3.297096282E-7;4.734940795E-4
8.888888889E2;NaN;9.910210029E-6;8.728894408E-8;1.277091807E-4;3.205256344E-8;4.689490360E-5;2.907178058E-7;4.253383198E-4;4.527290966E-7;6.623709640E-4;2.935885997E-7;4.295384706E-4
8.807339450E2;NaN;1.009458208E-5;9.080047845E-8;1.353182899E-4;3.181712874E-8;4.741648420E-5;2.648288990E-7;3.946696575E-4;5.596689597E-7;8.340643997E-4;2.678108864E-7;3.991136589E-4
