"Distance (cm)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
3.400000000E1;1.940549262E-6;2.243274947E-3;3.358645690E-6;3.882594417E-3;2.595874126E-5;3.000830489E-2;5.911908246E-7;6.834165933E-4;6.043982663E-6;6.986843958E-3;2.066226410E-7;2.388557730E-4
3.435416667E1;2.112615659E-6;2.493327522E-3;3.173654340E-6;3.745574676E-3;2.645557166E-5;3.122309762E-2;7.362997925E-7;8.689874705E-4;5.797802552E-6;6.842617404E-3;1.549320668E-7;1.828521836E-4
3.470833333E1;2.355700712E-6;2.837838214E-3;2.844877422E-6;3.427133940E-3;2.472308861E-5;2.978312367E-2;9.066037646E-7;1.092156909E-3;5.684402318E-6;6.847819862E-3;1.479416102E-7;1.782205833E-4
3.506250000E1;2.672909268E-6;3.286018273E-3;2.464727260E-6;3.030083704E-3;2.116356699E-5;2.601804284E-2;1.107607726E-6;1.361669574E-3;5.717615655E-6;7.029116080E-3;1.872944552E-7;2.302558525E-4
3.541666667E1;3.091160285E-6;3.877366850E-3;2.108517575E-6;2.644798520E-3;1.660905795E-5;2.083341036E-2;1.336525685E-6;1.676457999E-3;5.846019562E-6;7.332897802E-3;2.796465259E-7;3.507719010E-4
3.577083333E1;3.653560914E-6;4.674923065E-3;1.813136320E-6;2.320003143E-3;1.199479475E-5;1.534796982E-2;1.576411014E-6;2.017100682E-3;5.981558306E-6;7.653717988E-3;4.337664006E-7;5.550268899E-4
3.612500000E1;4.380966875E-6;5.717230225E-3;1.579792363E-6;2.061653718E-3;8.050312387E-6;1.050578345E-2;1.795360964E-6;2.342974111E-3;6.033893154E-6;7.874324846E-3;6.542243576E-7;8.537730090E-4
3.647916667E1;5.226042614E-6;6.954449601E-3;1.390915641E-6;1.850932615E-3;5.148510768E-6;6.851275679E-3;1.952891261E-6;2.598770208E-3;5.939184561E-6;7.903448699E-3;9.340527311E-7;1.242971618E-3
3.683333333E1;6.060067633E-6;8.221660090E-3;1.227955855E-6;1.665960887E-3;3.339690697E-6;4.530939814E-3;2.012038183E-6;2.729721025E-3;5.678285006E-6;7.703697721E-3;1.249744801E-6;1.695521828E-3
3.718750000E1;6.716287572E-6;9.288022296E-3;1.081697225E-6;1.495890078E-3;2.489003021E-6;3.442067556E-3;1.952342815E-6;2.699914707E-3;5.282720036E-6;7.305527191E-3;1.561818475E-6;2.159854631E-3
