"Speed of sound (m/s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
1.000000000E3;2.593248858E-5;2.997795680E-2;3.231127026E-5;3.735182842E-2;2.751154395E-5;3.180334481E-2;3.123641695E-5;3.610929799E-2;4.634761014E-6;5.357783733E-3;1.891101135E-6;2.186112912E-3
9.896907216E2;2.706458250E-5;3.194185756E-2;2.868672519E-5;3.385632458E-2;2.923504311E-5;3.450345419E-2;2.995333887E-5;3.535119315E-2;5.870954194E-6;6.928951613E-3;1.706114874E-6;2.013571732E-3
9.795918367E2;2.787053099E-5;3.357474806E-2;2.597670193E-5;3.129331203E-2;3.088967630E-5;3.721181701E-2;2.882994552E-5;3.473052443E-2;7.898665637E-6;9.515272917E-3;1.687368753E-6;2.032719821E-3
9.696969697E2;2.773477202E-5;3.409654369E-2;2.389048314E-5;2.937045603E-2;3.165546445E-5;3.891656026E-2;2.813232725E-5;3.458528971E-2;1.063881311E-5;1.307913242E-2;1.858805903E-6;2.285176768E-3
9.600000000E2;2.651771422E-5;3.326223702E-2;2.215512377E-5;2.779006410E-2;3.119528493E-5;3.912950237E-2;2.808811497E-5;3.523205393E-2;1.413993378E-5;1.773628846E-2;2.204848973E-6;2.765630873E-3
9.504950495E2;2.465083498E-5;3.154203795E-2;2.055123243E-5;2.629638119E-2;2.983030498E-5;3.816944183E-2;2.880672894E-5;3.685972254E-2;1.868240029E-5;2.390511232E-2;2.677753321E-6;3.426326003E-3
9.411764706E2;2.291776971E-5;2.990804756E-2;1.891954030E-5;2.469029571E-2;2.834700800E-5;3.699328836E-2;3.024249120E-5;3.946692356E-2;2.470444655E-5;3.223968875E-2;3.206599909E-6;4.184662984E-3
9.320388350E2;2.204322352E-5;2.933357003E-2;1.715480919E-5;2.282841238E-2;2.754261537E-5;3.665177355E-2;3.220816264E-5;4.286035541E-2;3.247892361E-5;4.322066504E-2;3.708073119E-6;4.934442660E-3
9.230769231E2;2.231382047E-5;3.027303626E-2;1.520488527E-5;2.062838338E-2;2.776811634E-5;3.767284917E-2;3.442583955E-5;4.670534527E-2;4.169204753E-5;5.656336926E-2;4.101786033E-6;5.564870323E-3
9.142857143E2;2.343222770E-5;3.240466567E-2;1.308131222E-5;1.809027953E-2;2.873027233E-5;3.973138540E-2;3.659314068E-5;5.060502590E-2;5.123818562E-5;7.085780728E-2;4.330199091E-6;5.988276301E-3
9.056603774E2;2.467617182E-5;3.477802250E-2;1.087190110E-5;1.532260449E-2;2.966268852E-5;4.180590312E-2;3.844686790E-5;5.418612120E-2;5.947283822E-5;8.381963462E-2;4.377480499E-6;6.169519178E-3
8.971962617E2;2.527005668E-5;3.629018143E-2;8.736876956E-6;1.254697818E-2;2.975986652E-5;4.273797123E-2;3.981545691E-5;5.717874611E-2;6.487804424E-5;9.317098201E-2;4.277331183E-6;6.142650435E-3
8.888888889E2;2.476729351E-5;3.623609836E-2;6.877278374E-6;1.006188809E-2;2.861818076E-5;4.187018709E-2;4.065865092E-5;5.948614747E-2;6.677737157E-5;9.769946819E-2;4.102492975E-6;6.002203628E-3
8.807339450E2;2.324437740E-5;3.464066990E-2;5.482568226E-6;8.170571008E-3;2.643332692E-5;3.939310296E-2;4.109155559E-5;6.123799266E-2;6.563277286E-5;9.781131927E-2;3.937215531E-6;5.867560191E-3
